CODEILE;BAGUEUR;LIEUDIT;BG;SG;ESPECE;ACTION;CONDREPR;CIRCREPR;BAGUE;DATE;HEURE;SEXE;AGE;COLONIE;SECTEUR;TERRIER;BP;EB;LT;MA;NATURE;RMQTERRIER;PERIODEJN;THEME;CENTRE;PAYS;DEPT;LOCALITE;STADE;LP;MEMO;PRIMAIRE;SECONDAIRE;RECTRICE;COUV;COUD;RG;PL;PR;ASG;CHAMP1;CHAMP2;CHAMP3;CHAMP4;MESURE1;MESURE2;MESURE3;MESURE4
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT67709;11/05/2005;03H50;M;;PC7;A;4;;;;;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67773;31/05/2005;23H20;F;;PC1;C;64;;;46,35;445;;;;PROG PERS;FRP;FR;83;HYERES;ad;245;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67774;01/06/2005;00H10;F;;PC1;C;60;;;47,15;455;;;;PROG PERS;FRP;FR;83;HYERES;ad;242,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67775;01/06/2005;00H10;F;;PC1;C;56;;;46,4;430;;;;PROG PERS;FRP;FR;83;HYERES;ad;238,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67776;01/06/2005;23H30;F;;PC1;C;67;;;49,2;440;;;;PROG PERS;FRP;FR;83;HYERES;ad;237,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT85278;01/06/2005;23H40;M;;PC1;C;60;;;;;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67777;02/06/2005;00H17;F;;PC1;C;67G;;;48,2;400;;;;PROG PERS;FRP;FR;83;HYERES;ad;247,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT85266;02/06/2005;01H26;F;;PC1;C;55;;;48,7;470;;;;PROG PERS;FRP;FR;83;HYERES;ad;240;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67778;02/06/2005;01H50;M;;PC1;C;64;;;48,6;440;;;;PROG PERS;FRP;FR;83;HYERES;ad;240;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FS56051;02/06/2005;22H45;M;;PC1;B;A22;;;;;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT67739;03/06/2005;01H10;F;;PC1;B;1G;;;;;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56065;14/06/2005;01H15;F;;PC1;C;A66;;;47;355;;;;PROG PERS;FRP;FR;83;HYERES;ad;234;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56066;14/06/2005;01H45;M;;PC1;C;A68;;;49;410;;;;PROG PERS;FRP;FR;83;HYERES;ad;247;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56067;14/06/2005;02H50;F;;PC1;A;83D;;;47,8;365;;;;PROG PERS;FRP;FR;83;HYERES;ad;241,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56068;15/06/2005;00H45;;;PC1;A;A3;;;;420;;;;PROG PERS;FRP;FR;83;HYERES;pull;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56069;15/06/2005;01H00;;;PC1;A;83D;;;;425;;;;PROG PERS;FRP;FR;83;HYERES;pull;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT67737;15/06/2005;01H10;M;;PC1;A;83D;;;;;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56070;15/06/2005;01H15;;;PC1;A;A86;;;;498;;;;PROG PERS;FRP;FR;83;HYERES;pull;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56071;15/06/2005;01H30;;;PC1;C;A68;;;;540;;;;PROG PERS;FRP;FR;83;HYERES;pull;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56072;15/06/2005;02H00;;;PC1;C;A66;;;;;;;;PROG PERS;FRP;FR;83;HYERES;pull;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56073;15/06/2005;02H20;F;;PC1;A;A3;;;46,75;410;;;;PROG PERS;FRP;FR;83;HYERES;ad;245,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56074;16/06/2005;02H40;M;;PC1;C;67;;;48,05;410;;;;PROG PERS;FRP;FR;83;HYERES;ad;233;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT85342;16/06/2005;03H00;M;;PC1;A;A3;;;48,35;420;;;;PROG PERS;FRP;FR;83;HYERES;ad;249,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FS56071;13/07/2005;;;;PC1;C;near A68;;;;;;;nuit;PROG PERS;FRP;FR;83;HYERES;juv;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FS56072;14/07/2005;;;;PC1;C;near A66;;;;;;;nuit;PROG PERS;FRP;FR;83;HYERES;juv;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56088;15/07/2005;00H07;;;PC1;B;16;;;48,5;500;;;;PROG PERS;FRP;FR;83;HYERES;juv;233,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56089;15/07/2005;00H32;;;PC1;A;near 85;;;46,2;485;;;;PROG PERS;FRP;FR;83;HYERES;juv;232,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56090;15/07/2005;01H17;;;PC1;B;24;;;46,9;395;;;;PROG PERS;FRP;FR;83;HYERES;juv;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56085;18/07/2005;23H00;;;PC1;B;22;;;;;;;;PROG PERS;FRP;FR;83;HYERES;juv;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56087;18/07/2005;23H14;;;PC1;B;1;;;;;;;;PROG PERS;FRP;FR;83;HYERES;juv;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56084;19/07/2005;00H00;;;PC7;A;4;;;;;;;;PROG PERS;FRP;FR;83;HYERES;juv;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56091;21/07/2005;23H30;;;PC1;B;1G;;;46,5;420;;;;PROG PERS;FRP;FR;83;HYERES;juv;213;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT67759;01/12/2005;20H55;F;;PC1;C;53;;;49;395;;;;PROG PERS;FRP;FR;83;HYERES;ad;236;;;;;;;1;;;;;;;;;;;
